epoch,train_loss,train_acc,val_acc
1,0.8068883593709087,65.96670450245932,84.68596292092319
2,0.39959061872833085,84.47786606129398,90.18161180476731
3,0.29903484853913054,89.12220961029134,90.03026863412788
4,0.2685809920336545,90.02080968596292,91.74233825198638
5,0.2375204479181154,91.1558834657586,93.21793416572078
6,0.23444536550032408,91.60991297767688,93.61520998864927
7,0.21183939179084812,92.33825198637912,94.29625425652668
8,0.20339210026438864,92.4233825198638,94.40976163450624
9,0.19201679946995392,93.16118047673099,93.99356791524782
10,0.17909251031918827,93.32198259553537,94.3151721528566
11,0.14146158277560758,94.8448732500946,96.12183125236474
12,0.12560503702228074,95.53537646613697,96.58531971244797
13,0.1274716906218573,95.20431328036322,96.96367763904654
14,0.1293903701935875,95.11918274687855,97.14339765418086
15,0.11968711552595623,95.60158910329172,97.2663639803254
16,0.11600469005803417,95.74347332576617,97.72039349224366
17,0.10746864353663926,96.0272417707151,97.48391978811956
18,0.10532921762276001,95.91373439273553,97.58796821793416
19,0.10376770771530618,96.2637154748392,97.64472190692395
20,0.09009916694930493,96.72720393492244,97.46500189178963
Highest Validate Accuracy Ratio,97.72
