epoch,train_loss,train_acc,val_acc
1,0.672934726330809,77.11880438895194,84.74271660991297
2,0.35110943465074385,86.71963677639046,85.07377979568672
3,0.2987351288788268,88.80060537268255,90.5505107832009
4,0.27008962728015606,89.89784335981838,91.27884979190314
5,0.24145117632797117,90.89103291713961,91.67612561483163
6,0.22717450490485866,91.50586454786227,93.66250472947408
7,0.19650057212553715,92.81119939462732,91.98827090427544
8,0.1878669507114999,93.09496783957624,93.73817631479379
9,0.17017559924379577,93.5017026106697,94.35300794551645
10,0.16468525656816912,93.85168369277336,96.03670071888006
11,0.1549162199197399,94.08815739689747,96.24479757850926
12,0.15261843468251096,94.32463110102157,95.10972379871359
13,0.14896557926062462,94.52326901248581,96.20696178584942
14,0.13443994433675355,95.23269012485811,96.5285660234582
15,0.12618575212784855,95.22323117669315,96.24479757850926
16,0.11437347255579655,95.75293227393114,96.69882709042754
17,0.11432488487043005,96.00832387438517,96.90692395005675
18,0.10568067798914325,95.99886492622021,97.93794930003783
19,0.10042531826122582,96.24479757850926,97.55959137343928
20,0.09658738141147886,96.44343548997351,97.79606507756337
Highest Validate Accuracy Ratio,97.94
