epoch,train_loss,train_acc,val_acc
1,0.3032883977140455,89.15058645478622,95.39349224366251
2,0.18115443771204198,93.35035944003027,95.46916382898222
3,0.15675846165400617,94.4475974271661,96.90692395005675
4,0.1342414351562854,95.16647748770336,96.14074914869467
5,0.12669129225107478,95.59213015512675,96.55694286795308
6,0.11326499027833117,96.16912599318955,97.30419977298524
7,0.11259302180935699,96.01778282255013,97.28528187665532
8,0.10257490523710983,96.29209231933409,97.01097237987136
9,0.10956290309539689,96.05561861521,98.03253878168748
10,0.09276319585151103,96.48127128263337,98.0514566780174
11,0.05727397812125231,97.96632614453273,99.17707150964813
12,0.04420512723293313,98.41089670828603,98.98789254634885
13,0.04104575251416919,98.60953461975028,99.2622020431328
14,0.032585715910200354,98.83654937570942,98.88384411653423
15,0.0369720274358819,98.7892546348846,99.20544835414302
16,0.03848992349520843,98.68520620507,98.95951570185396
17,0.03559046884844983,98.7892546348846,99.58380628074158
18,0.03696054835477422,98.73250094589481,99.06356413166856
19,0.0309797164889438,98.91222096102913,99.25274309496784
20,0.030364167569808344,99.02572833900871,99.32841468028755
Highest Validate Accuracy Ratio,99.58
