epoch,train_loss,train_acc,val_acc
1,0.6945667875047177,76.23912220961029,86.64396519107075
2,0.37930321675412965,85.1305334846765,89.78433598183882
3,0.3250066100020423,87.66553159288686,90.29511918274687
4,0.28972677513957024,88.91411275066213,90.43700340522133
5,0.26402627007073504,89.90730230798336,91.43965191070752
6,0.2484613307428144,90.3424139235717,91.56261823685206
7,0.227893376019516,91.60045402951192,93.5017026106697
8,0.21388279873979055,91.83692773363602,94.03140370790769
9,0.19877432255226318,92.17744986757472,93.53953840332954
10,0.17803599365517,93.52062050699962,94.42867953083618
11,0.14789665301029326,94.6840711312902,96.12183125236474
12,0.1391178886068484,94.8164964055997,96.5285660234582
13,0.12859651446623835,95.29890276201286,96.5285660234582
14,0.12999224331331216,95.11918274687855,96.12183125236474
15,0.12482330040707959,95.34619750283768,97.09610291335603
16,0.12030937430924339,95.525917517972,97.25690503216042
17,0.11117654631133796,95.91373439273553,96.65153234960272
18,0.10092977105760863,96.16912599318955,96.90692395005675
19,0.10505264735881949,96.00832387438517,97.72985244040862
20,0.10245611484435435,96.17858494135452,97.88119561104806
Highest Validate Accuracy Ratio,97.88
