epoch,train_loss,train_acc,val_acc
1,0.6024214055873116,75.86076428301173,86.92773363601968
2,0.3895987609226898,84.6575860764283,86.80476730987515
3,0.32482356575860716,87.66553159288686,91.10858872493378
4,0.29322273598201687,88.62088535754825,91.80855088914113
5,0.26279088136742845,89.87892546348846,92.53688989784337
6,0.2349896412624153,91.57207718501702,93.19901626939084
7,0.22169072572085613,91.77071509648127,93.6341278849792
8,0.20598771635814375,92.20582671206962,94.08815739689747
9,0.18604131676031563,93.1044267877412,94.08815739689747
10,0.18110606386649825,93.07604994324632,95.10026485054861
11,0.17635523720315216,93.5017026106697,95.10026485054861
12,0.16569956842235928,93.8422247446084,96.71774498675747
13,0.15172577595051231,94.25841846386682,96.2637154748392
14,0.1479467428162739,94.58948164964056,96.38668180098374
15,0.14399261222280044,94.91108588724934,96.92584184638669
16,0.14060892633744868,94.80703745743473,97.4460839954597
17,0.12791265672553906,95.33673855467272,97.98524404086265
18,0.1220211503278813,95.77185017026106,98.06091562618236
19,0.11396476632445555,95.57321225879681,98.10821036700719
20,0.1038365217103001,96.1312902005297,98.37306091562618
The Highest Validate Accuracy Ratio,98.37
