epoch,train_loss,train_acc,val_acc
1,0.6130973118669677,77.91335603480893,87.03178206583428
2,0.34939929903724043,86.4737041241014,87.06961785849414
3,0.3057322498309648,88.49791903140371,89.09383276579645
4,0.2692413618422347,89.737041241014,91.77071509648127
5,0.23215952819477756,91.40181611804768,92.13961407491487
6,0.21256066315731434,91.67612561483163,92.71660991297767
7,0.19343052391424279,92.4990541051835,92.80174044646235
8,0.18567332781828783,93.06659099508134,94.79757850926977
9,0.16757645203065116,93.38819523269012,92.08286038592509
10,0.16210838868437485,94.01248581157775,93.88951948543323
11,0.11501488516956927,95.62050699962164,97.02989027620129
12,0.09863551282056598,96.42451759364359,97.65418085508891
13,0.10385859435356681,95.99886492622021,97.96632614453273
14,0.0936984755731894,96.25425652667424,97.41770715096482
15,0.08728730499820384,96.77449867574725,97.76768823306848
16,0.08338863454446804,97.01097237987136,98.3163072266364
17,0.0787210265368651,96.96367763904654,98.43927355278093
18,0.0745071104271872,97.28528187665532,96.28263337116913
19,0.06961274214350588,97.39878925463489,98.47710934544078
20,0.06091595727322888,97.69201664774877,98.29738933030647
Highest Validate Accuracy Ratio,98.48
